country,bag_num,bag_weight,harvest_year,grading_date,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,cat_1_defects,quakers,color,cat_2_defects,expiration,altitude,species,total_quality
Thailand,1,10,2020,2024-10-29,Washed/Wet,8.67,8.5,8.33,8.0,8.08,8.33,10.0,10.0,10.0,0.112,0,0,,0,2025-10-29,1443.0,Arabica,8.318333333333333
Thailand,1,8,2025,2025-07-08,Natural/Dry,8.25,8.5,8.33,8.25,8.17,8.17,10.0,10.0,10.0,0.111,0,0,Green,0,2026-07-08,1450.0,Arabica,8.278333333333334
Thailand,1,7,2025,2025-10-02,Natural/Dry,8.42,8.42,8.17,8.17,8.08,8.17,10.0,10.0,10.0,0.097,0,0,Green,0,2026-10-02,1375.0,Arabica,8.238333333333333
Thailand,1,8,2025,2025-08-26,Natural/Dry,8.25,8.33,8.25,8.17,8.17,8.25,10.0,10.0,10.0,0.129,0,0,Yellow,0,2026-08-26,1200.0,Arabica,8.236666666666666
Thailand,1,7,2021,2025-10-02,Washed/Wet,8.33,8.25,8.08,8.08,8.25,8.25,10.0,10.0,10.0,0.095,0,0,Green,3,2026-10-02,1200.0,Arabica,8.206666666666665
Thailand,1,8,2025,2025-07-08,Natural/Dry,8.17,8.25,8.0,8.33,8.08,8.17,10.0,10.0,10.0,0.122,0,0,Green,0,2026-07-08,1200.0,Arabica,8.166666666666666
Thailand,1,7,2025,2025-10-02,Natural/Dry,8.33,8.33,8.08,8.25,8.08,8.08,10.0,10.0,10.0,0.109,0,0,Brown,0,2026-10-02,1400.0,Arabica,8.191666666666666
Thailand,1,8,2025,2025-10-02,Natural/Dry,8.33,8.33,8.17,8.08,7.92,8.17,10.0,10.0,10.0,0.1,0,0,Yellow-Green,0,2026-10-02,1480.0,Arabica,8.166666666666666
Ethiopia,1600,96000,2025,2025-04-08,Natural/Dry,8.0,8.25,8.17,8.33,8.33,8.0,10.0,10.0,10.0,0.089,0,3,Yellow-Green,1,2026-04-08,2000.0,Arabica,8.18
Taiwan,1,2,2025,2025-09-26,Honey,8.17,8.25,8.17,8.17,8.08,8.08,10.0,10.0,10.0,0.091,0,0,Blue-Green,0,2026-09-26,1200.0,Arabica,8.153333333333334
